VehID,TimeStep,SpeedProfile
1780,0.2,8.51996
1780,0.25,8.52808
1780,0.3,8.5362
1780,0.35,8.584115
1780,0.4,8.63203
1780,0.45,8.712025
1780,0.5,8.79202
1780,0.55,8.886945
1780,0.6,8.98187
1780,0.65,9.06902
1780,0.7,9.15617
1780,0.75,9.21907
1780,0.8,9.28197
1780,0.85,9.32109
1780,0.9,9.36021
1780,0.95,9.38354
1780,1,9.40687
1780,1.05,9.42017
1780,1.1,9.43347
1780,1.15,9.440445
1780,1.2,9.44742
1780,1.25,9.45009
1780,1.3,9.45276
1780,1.35,9.45182
1780,1.4,9.45088
1780,1.45,9.445975
1780,1.5,9.44107
1780,1.55,9.431005
1780,1.6,9.42094
1780,1.65,9.40399
1780,1.7,9.38704
1780,1.75,9.3614
1780,1.8,9.33576
1780,1.85,9.2995
1780,1.9,9.26324
1780,1.95,9.214495
1780,2,9.16575
1780,2.05,9.10438
1780,2.1,9.04301
1780,2.15,8.971275
1780,2.2,8.89954
1780,2.25,8.820755
1780,2.3,8.74197
1780,2.35,8.659045
1780,2.4,8.57612
1780,2.45,8.491165
1780,2.5,8.40621
1780,2.55,8.320625
1780,2.6,8.23504
1780,2.65,8.14969
1780,2.7,8.06434
1780,2.75,7.979755
1780,2.8,7.89517
1780,2.85,7.811665
1780,2.9,7.72816
1780,2.95,7.64591
1780,3,7.56366
1780,3.05,7.48277
1780,3.1,7.40188
1780,3.15,7.322405
1780,3.2,7.24293
1780,3.25,7.164905
1780,3.3,7.08688
1780,3.35,7.01032
1780,3.4,6.93376
1780,3.45,6.85868
1780,3.5,6.7836
1780,3.55,6.710005
1780,3.6,6.63641
1780,3.65,6.564295
1780,3.7,6.49218
1780,3.75,6.421555
1780,3.8,6.35093
1780,3.85,6.281795
1780,3.9,6.21266
1780,3.95,6.14501
1780,4,6.07736
1780,4.05,6.0112
1780,4.1,5.94504
1780,4.15,5.88037
1780,4.2,5.8157
1780,4.25,5.752515
1780,4.3,5.68933
1780,4.35,5.62764
1780,4.4,5.56595
1780,4.45,5.505745
1780,4.5,5.44554
1780,4.55,5.386825
1780,4.6,5.32811
1780,4.65,5.27088
1780,4.7,5.21365
1780,4.75,5.157915
1780,4.8,5.10218
1780,4.85,5.04793
1780,4.9,4.99368
1780,4.95,4.940925
1780,5,4.88817
1780,5.05,4.8369
1780,5.1,4.78563
1780,5.15,4.735845
1780,5.2,4.68606
1780,5.25,4.63777
1780,5.3,4.58948
1780,5.35,4.542675
1780,5.4,4.49587
1780,5.45,4.450555
1780,5.5,4.40524
1780,5.55,4.361415
1780,5.6,4.31759
1780,5.65,4.275255
1780,5.7,4.23292
1780,5.75,4.192075
1780,5.8,4.15123
1780,5.85,4.11187
1780,5.9,4.07251
1780,5.95,4.03464
1780,6,3.99677
1780,6.05,3.96039
1780,6.1,3.92401
1780,6.15,3.88912
1780,6.2,3.85423
1780,6.25,3.82083
1780,6.3,3.78743
1780,6.35,3.755515
1780,6.4,3.7236
1780,6.45,3.693175
1780,6.5,3.66275
1780,6.55,3.63382
1780,6.6,3.60489
1780,6.65,3.577445
1780,6.7,3.55
1780,6.75,3.524045
1780,6.8,3.49809
1780,6.85,3.47363
1780,6.9,3.44917
1780,6.95,3.4262
1780,7,3.40323
1780,7.05,3.38176
1780,7.1,3.36029
1780,7.15,3.34033
1780,7.2,3.32037
1780,7.25,3.30193
1780,7.3,3.28349
1780,7.35,3.26659
1780,7.4,3.24969
1780,7.45,3.234385
1780,7.5,3.21908
1780,7.55,3.205445
1780,7.6,3.19181
1780,7.65,3.17998
1780,7.7,3.16815
1780,7.75,3.15834
1780,7.8,3.14853
1780,7.85,3.141115
1780,7.9,3.1337
1780,7.95,3.12925
1780,8,3.1248
1780,8.05,3.124145
1780,8.1,3.12349
1780,8.15,3.1277
1780,8.2,3.13191
1780,8.25,3.14199
1780,8.3,3.15207
1780,8.35,3.167805
1780,8.4,3.18354
1780,8.45,3.201125
1780,8.5,3.21871
1780,8.55,3.22995
1780,8.6,3.24119
1780,8.65,3.23876
